ion	r_sq.data_pollen.	log2FC_PE1X_H20
551	0.673221652	-1.15532154
552	0.905317036	2.835677946
553	0.817260305	2.931464583
554	0.967123172	4.317220505
555	0.92160149	4.454781123
556	0.814237238	3.199237056
557	0.970216135	5.446786231
558	0.953033247	6.885891113
559	0.97198499	7.273670944
560	0.977715756	5.704021939
561	-0.009014487	-0.34686063
562	0.897517436	2.3954583
563	0.967373063	4.709234806
564	0.689147367	1.88630781
565	0.924155792	4.515711116
566	-0.023969544	0.031224538
567	0.950242408	5.246418785
568	0.921086935	4.002820192
569	0.963120085	4.073132947
570	0.953980035	6.856768568
571	0.915483088	2.662105084
572	0.967319246	4.560692013
573	0.977506543	3.680523985
574	0.315688813	2.571923027
575	0.950729692	4.016532231
576	0.940492001	5.15507399
577	0.955561863	5.907748983
578	0.929541178	4.891339226
579	0.852913356	5.291122297
580	0.915371984	4.299053735
581	0.907767485	3.769369274
582	0.849586156	3.267285668
583	0.366216947	0.701133736
584	0.863849728	5.84097059
585	0.647575507	-0.721196837
586	0.927039286	4.531097249
587	0.944531557	4.939638579
588	0.86979596	5.495424658
589	0.104529293	-0.988874399
590	0.733944232	-0.936084519
591	0.957356851	5.271552575
592	0.904909867	3.880690216
593	0.916847967	5.506585309
594	0.873914752	4.240064943
595	-0.003787778	-0.764434431
596	0.95913199	4.646411368
597	0.082343153	-0.460428494
598	0.786834587	1.866570101
599	-0.003055417	-0.096856332
600	0.919244326	3.444338288
601	0.979533757	3.544283772
602	0.927446247	5.498196339
603	0.036754466	0.331284902
604	0.884756444	3.928756982
605	-0.003406292	0.228475546
606	0.501184347	1.998890409
607	0.930615628	5.038789857
608	0.97029608	6.218979392
609	0.718526988	3.230380031
610	0.137918407	1.022397498
611	0.509715723	2.452691417
612	0.820352509	3.190803008
613	0.852120668	3.940026302
614	0.789848122	2.887650073
615	0.757609775	2.680788155
616	0.946631222	6.272568828
617	0.532141273	1.676426061
618	0.941817739	6.677310601
619	0.923106605	4.116405534
620	0.927492876	4.702507651
621	0.948605703	4.181484684
622	0.835328307	0.687985802
623	0.559824111	2.23426092
624	0.774594046	3.023067109
625	0.952760252	7.046800548
626	0.791367966	3.10257635
627	0.756834961	2.656703307
628	0.976540251	5.500232918
629	0.972126812	4.579968792
630	0.942013037	6.728446553
631	0.755125445	3.01492601
632	0.788703643	3.345113929
633	0.948815981	6.729728882
634	0.967682626	5.401026875
635	0.718715889	2.94585628
636	0.884914363	4.035051064
637	0.577392936	0.959098136
638	0.804928697	3.404665577
639	0.738600266	3.068254556
640	0.81941046	3.573648972
641	0.922945979	4.742293158
642	0.787959028	3.621117138
643	0.719042282	3.568146814
644	0.896195796	5.253105885
645	0.788592246	3.415483367
646	0.715474443	3.333707329
647	0.740992835	2.699525037
648	0.727013261	3.343441227
649	0.793957074	3.819938051
650	0.65633888	2.356636979
651	0.809658609	3.697036866
652	0.690042786	3.39242465
653	0.511740038	1.307785349
654	0.777869022	3.472520287
655	0.793493857	3.317823571
656	0.701969471	2.463521001
657	0.777513025	3.718966598
